speaker,line
TOM,Hey! I’m Tom.
TOM,"I’m a taxi driver. I drive a taxi in the morning. But in the evening, I’m a teacher!"
TOM,I teach English to my students. They’re smart!
SARAH,Hi! I’m Sarah.
SARAH,"I’m a doctor, and work in a hospital."
SARAH,"I’m busy in the morning, but in the evening I’m with my friends. They’re doctors!"
MARCO,Hello! I’m Marco.
MARCO,"I am a chef, and work in a restaurant in the afternoon."
MARCO,"But in the morning, I always talk with my friends and play soccer. It is very fun!"
